arystokracja,"aristocracy, nobility"
arystokrata,aristocrat
arystokratyczny,aristocratic
arytmenyka,arithmetic
arytmetyczny,arithmetic(al)
arytmia,arrythmia
arytmia,arrythmy
as,ace
asceta,ascetic
ascetyczny,ascetic
asceza,asceticism
aseptyczny,aseptic
asfalt,asphalt
askorbinowy,ascorbic
asonans,assonance
asortyment,assortment
aspekt,aspect
aspiracja,aspiration
aspirant,aspirant
aspirator,aspirator
aspirować,aspirate
aspiryna,aspirin
aster,aster
astma,asthma
astralny,astral
astrolog,astrologer
astrologia,astrology
astrologiczny,astrologic(al)
astronom,astronomer
astronomia,astronomy
astronomiczny,astronomic(al)
astygmatyzm,astigmatism
asymetria,assymetry
asymetryczny,asymmetric(al)
asymilacja,assimilation
asymptota,asymptote
atak,"assault, attack"
atakować,attack
atakwoać,assail
atawistyczny,atavistic
atawizm,atavism
ateista,atheist
ateizm,atheism
ateński,Athenian
atlantycki,Atlantic
atlas,atlas
atleta,athlete
atletyczny,athletic
atmosfera,atmosphere
atmosferyczny,atmospheric(al)
atol,atoll
atom,atom
atomizacja,atomization
atomowy,atomic
atoniczny,atonic
atrakcja,attraction
atrakcyjny,attractive
atrofia,atrophy
atropina,atropine
atrybut,attribute
attycki,Attic
audiencja,audience
audytorium,auditorium
augur,augur
aukcja,auction
aureola,aureola
auspicje,auspices
australijski,Australian
austriacki,Austrian
autentycznosć,authenticity
autentyczny,authentic
auto,"car, automobile"
autobiografia,autobiography
autobiograficzny,autobiographic(al)
autobus,bus
autochton,autochthon
autochtoński,autochthonous
autograf,autograph
autokracja,autocracy
autokrata,autocrat
autokratyczny,autocratic
automat,automata
automat,automaton
automatyczny,automatic
automatyzacja,automation
autonomia,autonomy
autonomiczny,autonomous
autopsja,autopsy
autor,author
autorka,authoress
autorstwo,authorshop
autorytatywny,authoritative
autorytet,authority
autoryzacja,authorization
awans,promotion
awansować,advance
awantura,affray
awanturnica,adventuress
awanturniczy,adventurous
awanturnik,adventurer
awaria,breakdown
awersja,averseness
awersja,aversion
awitaminoza,avitaminosis
azalia,azalea
azbest,asbestos
azjatycki,Asian
azot,"azote, nitrogen"
azotan,nitrate
azotowy,nitric
azotowy,nitrogenous
azymut,azimuth
ałun,alum
ałunować,alum
aż,so that
aż do,until
ażeby,for
ba,nay
babcia,grandma
babka,grandmother
babsko,jade
baczność,attention
bagaż,luggage
bagażowy,railway porter
bagno,quag
bagno,quagmire
bajka,fable
bal,ball
balon,baloon
banan,banana
bandyta,bandit
bank,bank
bardziej,more
bardzo,"many, jolly"
bardzo mi miło,pleased to meet you
bariera dźwięku,sound barrier
barman,barman
barwa,colour
baryłka,kilderkin
basen pływacki,swimming pool
baza,base
baza lotnicza,air-base
bazar,market
bać się,be afraid
bałwan,"nitwit, jackass"
beczułka,keg
bekon,bacon
beksa,cry-baby
benzyna,gas
bestia,beast
bestroska,airiness
besztać,"to scold, to chide"
beton,concrete
bez,without
bez energii,nerveless
bez przerwy,non-stop
bez przygotowania,ad lib
bez rangi oficerskiej,non-commissioned
bez sił,nerveless
bez znaczenia,negligible
bez-,non-
bezbolesny,painless
bezbożny,ungodly
bezbramkowy,goalless draw
bezbronny,helpless
bezbłędny,faultless
bezcelowy,"pointless, aimless"
bezceremonialny,unceremonius
bezchmurny,cloudless
bezdomny,homeless
bezdyskusyjny,undisputed
bezimienny,nameless
bezkonkurencyjny,unbeatable
bezkrwawy,bloodless
bezmyślnie,absently
beznadziejnie,abysmally
beznadziejny,abysmal
bezpartyjny,non-party
bezpieczny,safe
bezpostaciowy,amphorous
bezproduktywny,unproductive
bezpłciowy,"asexual, neuter"
bezpłodność,infertility
bezruch,quiescence
bezsprzecznie,admittedly
bezstronny,neuter
bezstronny,neutral
bezszmerowy,noiseless
beztroski,"airy, jaunty"
beztrosko,"airly, jauntily"
bezwodnik,anhydride
bełkot,"gibberish, jabber"
bełtać,stir
beż,beige
białko,albumen
biały,white
biba,jag
bibuła,blotting paper
biec,run
biedny,poor
biegun,pole
biegły,adept
biegły (w czymś),adept (at/in sth)
bielizna stołowa,napery
bierz go!,yoicks
bilet,ticket
biodra,loincloth
biskup,bishop
bitwa,battle
biurko,writing table
biuro,office
biuro podróży,travel agency
biuro rzeczy znalezionych,lost property office
biurokrata,bureaucrat
biwak,bivouac
bić,beat
bić brawo,applaud
biżuteria,jewel(le)ry
blada twarz,pleface
blady,"pale, nerveless"
blady jak ściana,white as a sheet
blaknąć,fade
blankiet,blank form
blask klejnotów,glitter
blask księżyca,glare
blask słońca,glare
blaski i cienie,pros and cons
blaszka,metal strip
blef,bluff
bliski,near
bliskość,approximation
blizna,scar
blokada,blockade
blondyn,blonde
bluszcz,ivy
bluza,jumper
bluza (część munduru),tunic
bluza sportowa,sweatshirt
bluzka,blouse
bo,because
bodziec,oestrum
bogaty,rich
bohater,hero
bojkot,boycott
bojler,boiler
bolesny,"painful, aching, afflicting, agonizing"
boleć,ache
boleć nad,to be troubled by
boleść,anguish
boli mnie głowa,i have a headache
bomba atomowa,atom(ic) bomb
bomba zegarowa,time bomb
bombowiec,bomber
bonifikata,discount
bordowy,maroon
borsuk,badger
bory,forest
bractwo rycerskie,knighthood
brak,deficiency
brak mi ciebie,i miss you
brak wody,aridity
brakarz,sorter
brakować,be lacking
brama,archway
brat,brother
bratanek,nephew
bratanica,niece
bratek,pansy
brać,take
brew,brow
broda,"chin, beard"
bronić,defend
broń,"arms, arm"
brudna bielizna,loundry
brudny,dirty
bryczesy,jodhpurs
brytyjski,British
bryłka,nugget
brzeg,shore
brzoskwinia,peach
brzuch,abdomen
brzuchy,abdomens
brzuszny,abdominal
brzydcy,ugly
brzydki,ugly
brzydzić się,abhor
brzęczenie,jangle
brzęczeć,jangle
brzęk,jingle
brązowy,nut-brown
buczeć,zoom
budka,shelter
budowa,construction
budować,build
budowniczy,architect
budzik,alarm-clock
bujać,float
bukiet,nosegay
bunkier,pillbox
burak,beetroot
burda,affray
bursztyn,amber
burza,storm
but,shoe
but rybacki,jack-boot
butelka,bottle
bułka,roll
bydło,"cattle, neat, kine"
byk,bull
byle gdzie,anywhere
byle jak,anyhow
byle jak,anyway
bystrosć,astuteness
bystrość,acumen
bystrość,acuteness
bystry,"acute, astute, quick-witted"
byt,existence
być,be
być bez pracy,to be out of work
być bliskim śmierci,to be about to die
być do twarzy,suit
być głodnym,be hungry
być może,perhaps
być na bieżąco (z czymś),to keep abreast
