ukushayela,drive
ilayisense lokushayela,driving-licence
umuthi,drug
idada,duck
eDandi,dundee
eThekwini,Durban
umHholandi,dutchman
umbala,dye
-nke,each
"ukhozi, ulukhozi",eagle
indlebe,ear
"ukuhola, ukuwina",earn
eMonti,east London
"ilirandi, irandi",edge
"ilirandi, irandi",edging
"iliqanda, iqanda",egg
isishiyagalombili,eight
ishumi nesishivagalombili,eighteen
ishumi nesishiyagalombi,eighteen: 1.
amashumi ayisishiyagalombili,eighty
isishiyagalombili,eigth
indolowane,elbow
ukukhetha,elect
indlovu,elephant
ishumi nanye,eleven
-nye,else
ukusebenzisa,employ
"ukuhlangana, umhlangano",encounter
"ukugcina, ukuqeda",end
ukufika,end up
"ukuhlupheka, ukuqhubeka, ukuqhubeka",endure
umshini,engine
unjiniyela,engineer
eNgilandi,England
isiNgisi,English
isiNgisi,english language
iNigisi,englishman
ukungena,enter
ukuethemba,entrust
libiza,equals (calls)
ukukhukhuleka,erosion
"umbiko, umumayalezo",errand
isiphosiso,error
"ilipulazi, ipulazi",estate
umlungu,european
isikhathi sakusihlwa,evening
"ilithuba, ithuba",event
-nke,every
-nke,every one
-nke,everybody
konke,everything
ukuhlola,examine
kuphela,exclusively
"ngiyaxolisa, uxolo",excuse me
-bizayo,expensive
ukugcina,expire
usayizi,extend
ihlo,eye
ubuso,face
"ifektri, iligektri",factory
ukuehluleka,fail
ukwindla,fall
umuzi,family
kude,far
hamba kahle,farewell
"ilipulazi, ipulazi",farm
ngokushesha,fast
ubaba,father
obaba,fathers
ukuesaba,fear
uFebruwari,february
indoda,fellow
ukuletha,fetch
imfiva,fever
ishumi nesihlanu,fifteen
amashumi amahlanu,fifty
ukugcwalisa,fill
ukugcwalisa,fill in
ukugcwalisa,fill up
ifilimu,film
ekugcineni,finally
ukuthola,find
-bukekayo,fine
ukuqeda,finish
ukuqala,first
isibongo,first name
ukuqala,first of all
ukuqala,firstly
inhlanzi,fish
"-hlanu, amahlanu, isihlanu",five
ukubhukuda,float
imfluwenza,flu
ukulandelayo,follow
-landelayo,following
ukudla,food
unyawo,foot
ngoba,for
loyedwa,for one
amandla,force
ukukhohlwa,forget
ukuxolela,forgive
"ifomu, ilifomu",form
phambili,formerly
ngenhlanhla,fortunately
amashumi amane,forty
"-ne, amane, okune",four
ishumi nane,fourteen
inkululeko,freedom
isiFulentshi,French
isiFulentshi,french language
iFulentshi,frenchman
kaningi,frequently
uLwesihlanu,Friday
umngane,friend
ubuhlobo,friendship
"ilirandi, irandi",fringe
ixoxo,frog
isithelo,fruit
ukusuthi,full: be ~
umngcwabo,funeral
ukudiliva,furnish
"ukuhola, ukuwina, ukuwina",gain
igalaji,garage
ingadi,garden
uphetroli,gasoline
"ilisango, isango",gate
isango,gateway
iliphephandaba,gazette
ubaba,gentleman
isiJalimane,German
