Other,English
Bandaríska Samóa,American Samoa
Bandaríska alríkislögreglan,Federal Bureau of Investigation
Bandaríska borgarastríðið,American Civil War
Bandaríska frelsisstríðið,American Revolutionary War
Bandarísku Jómfrúaeyjar,United States Virgin Islands
Bangkok,Bangkok
Bangladess,Bangladesh
Bangví,Bangui
Banki,Bank
Bannfæring,Excommunication
Barbados,Barbados
Barbari,Barbarian
Barein,Bahrain
Barentshaf,Barents Sea
Bari,Bari
Barn,Child
Barnahjálp Sameinuðu þjóðanna,United Nations Children's Fund
Barokk,Baroque
Barselóna,Barcelona
Barín,Barium
Basalt,Basalt
Basel,Basel
Basi,Base (chemistry)
Basilíka,Basil
Basilíkata,Basilicata
Bastille,Bastille
Baðmull,Cotton
Beagle,Beagle
Beaufort-kvarðinn,Beaufort scale
Beijing,Beijing
Bein,Bone
Beirút,Beirut
Bekerel,Becquerel
Belfast,Belfast
Belgrad,Belgrade
Belgía,Belgium
Belo Horizonte,Belo Horizonte
Belís,Belize
Benelúxlöndin,Benelux
Bengalflói,Bay of Bengal
Benito Mussolini,Benito Mussolini
Benjamin Franklin,Benjamin Franklin
Benjamin Harrison,Benjamin Harrison
Benín,Benin
Berg,Rock (geology)
Bergfræði,Petrology
Bergkvika,Magma
Beringssund,Bering Strait
Berklar,Tuberculosis
Berkshire,Berkshire
Berlín,Berlin
Bermúda,Bermuda
Bern,Berne
Berserkjasveppur,Amanita muscaria
Bertolt Brecht,Bertolt Brecht
Bertrand Russell,Bertrand Russell
Beryllín,Beryllium
Beta,Beta (letter)
Betasundrun,Beta decay
Betelgás,Betelgeuse
Bette Davis,Bette Davis
Beykibálkur,Fagales
Biblían,Bible
Bifreið,Automobile
Bill Gates,Bill Gates
Birki,Birch
Bishkek,Bishkek
Biskajaflói,Bay of Biscay
Biskup,Bishop
Bismút,Bismuth
Bissá,Bissau
Bjarndýr,Bear
Bjólfskviða (kvæði),Beowulf
Bjór (öl),Beer
Björgvin,Bergen
Blaise Pascal,Blaise Pascal
Blak,Volleyball
Blaðamennska,Journalism
Blender,Blender (software)
Blettatígur,Cheetah
Blinda,Blindness
Bloemfontein,Bloemfontein
Blogg,Blog
Bláhrafn,Rook (bird)
Blár,Blue
Blásturshljóðfæri,Wind instrument
Bláæð,Vein
Blóm,Flower
Blómkál,Cauliflower
Blóð,Blood
Blóðflaga,Platelet
Blóðfræði,Hematology
Blóðrásarkerfi,Circulatory system
Blóðvökvi,Blood plasma
Blý,Lead
Blýantur,Pencil
Bob Dylan,Bob Dylan
Bobby Fischer,Bobby Fischer
Bodenvatn,Lake Constance
Boethíus,Anicius Manlius Severinus Boethius
Bogagráða,Angle
Bogi (byggingarlist),Arch
Bologna,Bologna
Bonn,Bonn
Bordeaux,Bordeaux
Borgarastríð,Civil war
Borgarstjóri,Mayor
Borgríki,City-state
Boris Godúnov,Boris Godunov
Borneó,Borneo
Borrar,Perciformes
Borðsalt,Sodium chloride
Borðspil,Board game
Bosnía og Hersegóvína,Bosnia and Herzegovina
Bosporussund,Bosporus
Boston,Boston
Botsvana,Botswana
Bourgogne,Bourgogne
Bouveteyja,Bouvet Island
Boxer (hundur),Boxer (dog)
Boðorðin tíu,Ten Commandments
Braga,Braga
Brama,Brahma
Brasilía,Brazil
Bratislava,Bratislava
Brauð,Bread
Brazzaville,Brazzaville
Breiðnefur,Platypus
Bremen,Bremen
Brennisteinn,Sulfur
Brennisteinssýra,Sulfuric acid
Breska Kólumbía,British Columbia
Breska heimsveldið,British Empire
Breska samveldið,Commonwealth of Nations
Breskt pund,Pound sterling
Bresku Jómfrúaeyjar,British Virgin Islands
Bretagne,Bretagne
Bretland,United Kingdom
Bretlandseyjar,British Isles
Bris,Pancreas
Brisbane,Brisbane
Bristol,Bristol
Brjóskfiskar,Chondrichthyes
Brjóst,Breast
Brno,Brno
Broadway,Broadway (New York City)
Brons,Bronze
Bronsöld,Bronze Age
Brooklyn,Brooklyn
Brugge,Bruges
Bruni,Combustion
Brussel,Brussels
Bræðslumark,Melting point
Bróm,Bromine
Brú,Bridge
Brúnei,Brunei
Brúnsvík,Braunschweig
Buckinghamhöll,Buckingham Palace
Buckminster Fuller,Buckminster Fuller
Buddy Holly,Buddy Holly
Bushi,Samurai
Bydgoszcz,Bydgoszcz
Bygg,Barley
Byggingarlist,Architecture
Bylgjulengd,Wavelength
Byssupúður,Gunpowder
Bátur,Boat
Bæheimur,Bohemia
Bæjaraland,Bavaria
Bær,Town
Bæti,Byte
Bók,Book
Bókasafn,Library
Bókfell,Parchment
Bókfinka,Chaffinch
Bókmenntir,Literature
Bókstafstrú,Fundamentalism
Bókstafur,Letter (alphabet)
Bólivía,Bolivia
Bór,Boron
Búdapest,Budapest
Búddismi,Buddhism
Búenos Aíres,Buenos Aires
Búfjárrækt,Animal husbandry
Bújúmbúra,Bujumbura
Búkarest,Bucharest
Búlgaría,Bulgaria
Búrkína Fasó,Burkina Faso
Bútan,Bhutan
Býfluga,Bee
C (forritunarmál),C (programming language)
C-14 aldursgreining,Radiocarbon dating
C. S. Lewis,C. S. Lewis
CAT,Computed tomography
CD,CD (disambiguation)
Calvin Coolidge,Calvin Coolidge
Calígúla,Caligula
Cambridge,Cambridge
Canberra,Canberra
Cardiff,Cardiff
Carl Orff,Carl Orff
Carl von Linné,Carolus Linnaeus
Casablanca,Casablanca
Catullus,Catullus
Caymaneyjar,Cayman Islands
Ceres,Ceres
