English,Other
fillip,"kvrcanje, podstrek, udarac prstom"
knotty,"kvrgast, čvorast"
nodule bacteria,kvržične bakterije
daughter,"kćer, kćerka, kći"
loose,"labav, mek, neučvršćen, odriješen, odriješiti, slabo pričvršćen, slobodan"
inactive,"labav, neaktivan, nedjelatan, nedjelotvoran, pasivan, pasivna, trom"
relaxation,"labavost, mlitavost, odmor, oporavljanje, opuštanja, opuštanje, opuštenost, popuštanje, razonoda, relaksacija, relaksacije, slabljenje, smanjenje napon, smekšavanje, ublaženje"
inactivity,"labavost, nedjelatnost"
unstable,"labilan, nepostojan, nestabilan, nestabilna"
labyrinth,labirint
maze,"labirint, zbrka"
laboratory,"laboratorij, laboratorija, laboratorijem, laboratorijska, laboratorijske"
laboratories,"laboratorija, laboratoriji"
laboratory investigation,laboratorijska ispitivanja
laboratory testing,laboratorijska ispitivanja
scientific apparatus,laboratorijska oprema
laboratory examination,laboratorijsko ispitivanje
swan,labud
country life,ladanjski život
ladder jacobs,"ladder, jacob's ; buškaina, jakobica, jakovnica, skala od konopa"
ladder pilot,"ladder, pilot ; skala za pilota"
tray,"ladica pisača, plitko korito, poslužavnik, zamjenljivi blok"
cash till,ladica za novac
folder,"ladica, mapa, odjeljak"
ladybirds,lady-birds ; božje ovčice
light,"lagan, laganu, laki, lako, manja, svijetao, svijetla, svijetliti, svjetiljka, svjetlo, svjetlom, svjetlosni, svjetlost, vitak, zapaliti, zapaliti se, zapaliti vatru"
lightweight,lagani
lightweight satellite terminal,"lagani satelitski terminal, terminal za primopredaju satelitskih radiosignala"
light vector bosons,lagani vektorski bozoni
mendacity,"laganje, laž, lažljivost"
lying,"laganje, ležanje, ležao"
slow ahead,lagano naprijed
slow astern,lagano natrag
lagoon,"laguna, lagune, uvala"
breeze,"lahor, novost, obad, povjetarac, vijest, vjetrić"
zephyr,"lahor, povjetarac, tanka majica, zapadni vjetar, zefir"
breezy,"lahorast, svjež, veseo, vjetrovit, živahan"
laity,laici
layman,laik
laymen,"laik, svjetovnjak"
flick,"lak i brz udar, nagli pokret"
flip,"lak udarac, okrenuti, zrcaljenje"
paddy,"lak udarac, riža u ljusci"
lacquer,"lak, lakirani, lakirati"
lightsome,"lak, ljubak"
sketchy,"lak, nedovršen, nepotpun, nepovezan, površan"
light meal,laka hrana
light industry,laka industrija
light machine gun,laka strojnica
crank,"lakat, osobenjak, poluga, prevrtljivac, ručica, zglob"
elbow,"lakat, pregib, zglob"
lakey,"lakej, sluga"
flunkey,"lakej, ulizica"
lightweight concrete,laki betoni
scow,laki brod
gasoil,laki dizel
skiff,laki čamac
pumps,lakirane cipele
varnishing,lakiranje
easly,lako
volatilization,lako isparavanje
volatization,lako isparavanje
volatizable,lako isparljiv
dart,"lako koplje, nagli pokret, strelica, strijela, strijelica za pikado, žaoka"
tractable,"lako obradiv, popustljiv, povodljiv"
damageable,lako pokvarljiv
digestible,"lako probavljiv, lako svarljiv, probavljiv"
touchy,"lako uvredljiv, previše osjetljiv"
inflammables,lako zapaljive tvari
easily,"lako, olako"
lightly,"lako, olako, površno"
dissolute,"lakog morala, razuzdan"
avid,"lakom, pohlepan"
greedy,"lakom, pohlepan, požudan, proždrljiv"
flighty,"lakomislen, nepostojan, površan"
unthinking,"lakomislen, nepromišljen"
frivolity,lakomislenost
avidity,"lakomost, pohlepnost, požuda"
hare brained,lakouman
levity,"lakoumnost, lakoća"
credulous,lakovjeran
gullible,lakovjeran
dupe,"lakovjeran, lakovjeran čovjek, nasamariti, obmanuti, prevariti, varati"
credulity,lakovjernost
serviceability,"lakoća u radu, pogodnost, uporabivost"
ease,"lakoća, lakše, mir, neusiljenost, olakšan, olakšanje, olakšati, spokojstvo, ublažiti, udobnost"
waggery,"lakrdija, šala"
monkey,"lakrdijati se, majmun, majmunirati, oponašati se, praviti ludorije, rugati se, znak @, znak kojemu je pridružen broj 64 u ASCII znakovnik, šaliti se"
buffoon,lakrdijaš
jester,"lakrdijaš, šaljivčina"
motley,"lakrdijašica, odijelo, raznobojan, šaren"
laxative,laksativ
lactate,laktat
upstart,"laktaš, skorojević"
lactose,laktoza
easier,"lakše, lakši, lakšu"
poppy,"lala, mak"
tulip,"lala, tulipan"
lambdahypernuclei,lambda-hypernuclei ; lambda-hiperjezgre
llama,"lame, ljama"
lamellas,lamele
lamentations,lamentacije
lamin a,lamin A ; laminA
laminae,lamine
lamp,"lampa, svjetiljka"
busy lamp,"lampica zauzetosti, pokazivač zauzetosti"
flax,lan
leenseed,"lan-sjeme, sjeme lana"
data chain,lanac podataka
chain store,lanac prodavaonica
chain,"lanac, lanac podatak, lanac podataka, lancu, niz, niz podatak, niz podataka, vijenac planine"
chains,"lance, lanci, okovi"
landmobile service,"land-mobile service ; kopnena pokretna radio služba, zemaljska pokretna radio služba"
landregistry,land-registry ; katastar
landingplace,"landing-place ; pristajalište, pristanište"
roam,"landrati, lutati, obilaziti, propješačiti, putovati, skitati se, tumaranje, tumarati, vrludati"
calf,"lane, lisni mišić na nozi, list, list na nozi, mladi kit, priglup čovjek, tele, teleća koža"
fawn,"lane, mahati repom, okotiti"
flaxen,lanen
linen,"lanen, laneno platno, platnen, platno, posteljina, rublje"
seed flax,laneno sjeme
linseed oil,laneno ulje
languageoriented computer,language-oriented computer ; jezično usmjereno računalo
languagesensitive editor,language-sensitive editor ; jezično osjetljivi priređivač
launched,"lansiran, pokrenuta"
launch facility,lansirni uređaj
launch vehicle,lansirno vozilo
lanthanum,lantan
chain reaction,lančana reakcija
chain reaction polymerasis,lančana reakcija polimerazom
polymerise chain reaction,lančana reakcija polimerazom
daisy chain,"lančana veza, serijski povezane naprave"
bicycle chain,lančanik
chained addressing,"lančano adresiranje, ulančano adresiranje"
daisy chaining,"lančano povezivanje, serijsko povezivanje"
laparoscopy,laparoskopija
laplink,"laplink, oprema za izravno spajanje računala"
marl,"lapor, lapora"
laptop,laptop
largecapacity memory,large-capacity memory ; memorija velikog kapaciteta
largescale construction,large-scale construction ; veliki javni radovi
largescale integration,large-scale integration ; veliki stupanj integracije
largesignal analysis,"large-signal analysis ; analiza velikim signalom, nelinearna analiza"
double talk,lari-fari
mumbo jumbo,lari-fari
laryngeal surgery,laringealna kirurgija
din,"larma, lupa, zveckanje, zveket"
larva,"larva, ličinke, punoglavac"
cocoon,"larve, čahura"
distributed feedback laser,laser s raspodijeljenom povratnom vezom
ion laser,laser sa snopom iona u plemenitom plinu
laser,"laser, lasera, laserski, laserski snop"
laserholography storage,"laser-holography storage ; lasersko-holografska memorija, memorija za pohranu podataka djelovanjem laserske"
lasermatter interaction,laser-matter interaction ; interakcija laser-materija
lasers,laseri
laser ablation,laserska ablacija
laser desorption,laserska desorpcija
laser diode,laserska dioda
laser excitation,laserska ekscitacija
laser physics,laserska fizika
laser lens,laserska leca
laser optic,laserska optika
laser spectroscopy,laserska spektroskopija
laser disk,laserski disk
laser filter,laserski filtar
laser power supply,laserski izvor napajanja
laser printer,laserski pisac
color laser printer,laserski pisac u boji
laser threshold,"laserski prag, najmanja količina energije potrebita za okidanje l"
laser power converter,laserski pretvarač snage
laser beam,laserski snop
laser weapon,lasersko oružje
laser amplifier,"lasersko pojačalo, pojačalo temeljeno na pojačanju svjetlosti"
laser welding,lasersko zavarivanje
least weasel,lasica
weasel,lasica
flummery,laskanje
blarney,"laskanje, laskati"
blandishment,"laskanje, nagovaranje"
flatter,"laskati, miris, ukus, ulagivati se, začin"
coax,"laskati, nagovoriti, pridobiti"
soap,"laskati, nasapunjati, novac, sapun"
soothe,"laskati, odobravati, okrijepiti, olakšati, umiriti, utješiti"
blandish,"laskati, ulagivati se"
smooth tongued,"laskav, neiskren"
complimentary,"laskav, pohvalan, pozdravni, pozivni"
soapy,"laskav, sapunast, ulagivački"
adulator,laskavac
toady,"laskavac, ulizica"
lasso,laso
lastin firstout,"last-in first-out ; slijedno, zadnji unutra-prvi van"
lastin lastout,last-in last-out ; zadnji unutra-zadnji van
lastnumber redial,last-number redial ; ponovno biranje zadnjeg (telefonskog) broja
swallow,"lasta, lastavica, progutati, trpjeti, zalogaj"
dovetail,"lastin rep, užlijebiti"
late baroque,late Baroque ; kasno barokni
latent claim,latentna šteta
latent,"latentni, skriveni"
lateral parity check,"lateralna provjera parnosti, provjera parnosti cijelom dužinom nekog magnetskog"
petal,"latica, listić"
petals,latice
rose petals,latice ruže
latinist,latinist
latinity,latinitet
latin,"latinski jezik, romanski ; Latin ; latinično, latinski, latinskim, latinskog, latinskom"
laureate,laureat
leo,lav
lion,lav
lava,lava
lavender,lavanda
lioness,lavica
avalanche,"lavina, lavinski, odron snijega, usov"
avalanche photodiode,lavinska fotodioda
avalanche photodetector,"lavinski foto detektor, lavinski fotodetektor"
avalanche voltage,lavinski napon
avalanche breakdown,lavinski proboj
avalanche process,lavinski proces
avalanche multiplication,lavinsko umnažanje
leonine,"lavlji, lavovski"
law of the european community,law of the European Community ; pravo Europske Zajednice
lawcourt,"law-court ; sud, sudnica"
lawnmower,lawn-mower ; stroj za košnju tratine
lawrencium,lawrencij
laydays,lay-days ; stojnice
laydays average,"laydays, average ; kompenzacijske stojnice, uravnotežene stojnice"
lasagna,lazanje
meat lasagne,lazanje s mesom
sweet woodruff,lazarkinja
lazulite,lazulit
lazy standard ml,"lazy standard ML ; inertna varijanta programskog jezika, inertni SML"
liner,"lađa, linijski brod, prekooceanski linijski brod, putnički brod"
untruth,"laž, neistina"
falsehood,"laž, obmana"
gloss,lažan sjaj
insincere,"lažan, neiskren"
untrue,"lažan, neistinit, netočan, pogrešan"
spurious,"lažan, neistinit, patvoren, prividan"
mis,"lažan, nepravilan"
fallacious,"lažan, pogrešan"
sham,"lažan, pretvaralo, prijevara, prividnost, stimulans, varalica, varati"
bogus,"lažan, prividan, pseudo, vještački"
seeming,"lažan, prividan, tobožnji, varljiv"
fix a score,lažirati rezultat
mendacious,"lažljiv, neiskren"
liar,"lažljivac, lažljivka"
false document,lažna isprava
spurious accuracy,lažna preciznost
ghost image,"lažna slika, slika s konturama, udvostručena slika, višestruka (televizijska) slika"
canard,lažna vijest
lexical,lažni parovi
ghost pulse,lažni signal
raise signal,lažni signal
fake hitter,lažni smečer
misrepresent,lažno prikazivati
commit perjury,lažno se zakleti
mis state,lažno svjedoči
perjure,lažno svjedoči
leadfree petrol,lead-free petrol ; bezolovni benzin
leading adjustment,"leading # adjustment ; namještanje proreda, namještanje proreda između redaka"
leadingedge application,"leading-edge application ; istaknuta primjena, vodeća primjena"
learnercentered approach,learner-centered approach ; učeniku usmjeren pristup
leastdeveloped country,least-developed country ; najslabije razvijena zemlja
leastsquares estimator,least-squares estimator ; procjena temeljena na kriteriju najmanjih kvadrata
hovering,lebdeći
hovercraft,lebdjelice
impend,"lebdjeti, lebdjeti na, nadnositi se, predstojati, prijetiti, visjeti"
suspend,"lebdjeti, objesiti, obustaviti, zaustaviti"
ultraviolet lense,"leca za ultraljubičasto područje, ultraljubičasta leca"
lens,"leca, leća, leće, optičko staklo"
lecithin,lecitin
ice,"led, sladoled, smrznuti, zalediti se"
icehouse,ledana
icily,leden
freezing,"leden, smrzava, smrzavanje, zamrzavanje"
iciness,ledena hladnoća
iceberg,"ledena santa, ledeni brijeg u moru"
icicle,"ledena siga, ledenica"
frigid zone,ledeni pojas
glacial,ledenjakov
iceferns,ledeno cvijeće na prozoru
icebreaker,ledolonac
lefthand zero,left-hand zero ; vodeća nula
lefthanded materials,left-handed materials ; lijevo orijentirani materijali
lefthanded propeller,left-handed propeller ; lijevokretni propeler
leftluggage office,"left-luggage office ; garderoba, mjesto za pohranjivanje prtljage"
legal,"legalan, legalni, pravna, pravne, pravni, zakonit, zakonska, zakonski"
legalization,"legalizacija, ovjera, ozakonjenje"
legalize,"legalizirati, ovjeriti, ozakoniti"
legal migration,"legalna migracija, legalne migracije"
legatee,"legatar, nasljednik"
slur,"legatom, ljaga, mrlja, nejasno izgovarati, oklevetati, povezivanje, uprljati"
saga,"legenda, predanje, saga"
legendary texts,legendarni tekstovi
legends,legendi
legion,"legija, vojska"
legionary fortresses,legionarski logori
alloyed,legiran
alloy steel,legirani čelik
alloy,"legirani, legirati, legura, miješati, primjesa, slitina, smjesa"
alloyage,legiranje
alloying,legiranje
legislativeexecutive relations,legislative-executive relations ; odnos zakonodavne i izvršne vlasti
legitimate,"legitimne, legitimno, zakonit"
legitimacy,legitimnost
legitimacy of the state,legitimnost države
y alloy,legura aluminija
tombac,legura bakra i cinka
amorphous silicon alloys,legure amorfnog silicija
alloys,"legure, slitina, slitinama, slitine"
leakage,lekaža
lesson,"lekcija, nastavni sat, obuka, predavanje, vježba, zadatak"
tutorial,"lekcija, za podučavanje"
lexeme,leksem
lexicon,"leksik, leksikon, rječnik"
lexis,"leksik, leksičkom"
lexicographer,leksikograf
lexicography,"leksikografija, leksikografije"
lexicographic supplements,leksikografski prilozi
lexicology,leksikologija
dictionary,"leksikon, rječnik, rječnika, višesveščani rječnik"
lexical norm,leksička norma
lexical presentation,leksička reprezentacija
false pairs,leksički
lexical relations,leksički odnosi
lexical data,leksički podatci
lexical approach,leksički pristup
lexicographical,leksičku
lectins,lektini
perusal,"lektira, proučavanje, čitanje"
editorial,"lektorske, lektorski, uvodni članak"
proofreading,lektura
floater,"lelujavi servis, pneumatski ventil"
lemma,"lema, pomoćna tvrdnja za dokazivanje drugih tvrdnji"
wallop,"lemati, mlatiti, tući"
lemmatise,lematizirati
ploughshare,"lemeš, ralo"
solderer,lemilac
soldetron,"lemilica, lemilo"
soldering bit,lemilo
soldering iron,lemilo
brazed,"lemljen, prilemljen"
soldered joint,"lemljeni spoj, lemski spoj"
brazing,lemljenje
soldering,"lemljenje, lemni, spajanje"
solderable metalize area,lemljivo metalizirano područje
solderability,lemljivost
solder paste,"lemna pasta, pasta za lemljenje"
solder joint,lemni spoj
leninism,lenjinizam
sash,"lenta, prozorski krst, prozorski okvir"
leopard,leopard
leopards,leopard's ; leopardove
fan,"lepeza, ljubitelj, navijač, obožavalac, obožavatelj, polukružna dekoracija u nacionalnim bojama, ventilator"
wafter,"lepeza, puhaljka, ratni brod"
flit,"lepršanje, lepršati, letjeti lako, proletjeti, proći pored"
butterfly nut,leptir navrtka
butterfly tuner,leptir rezonator
butterfly,"leptir, leptir matica, stil u plivanju"
wing head,leptirasta glava
lesbian,"lesbijski, lezbejka, lezbijka"
lessfavoured agricultural area,less-favoured agricultural area ; zapostavljeno poljoprivredno područje
lessfavoured region,less-favoured region ; zapostavljeno područje
let go anchor,let go anchor! ; obori sidro!
lets talk,let's talk ; pričajmo
fly sheet,letak
flyer,"letak, letač"
leaflet,"letak, listić, mala brošura, prospekt"
case fatality,letalitet
lethargy,"letargija, pospanost, učmalost"
flying,letenje
air traffic,"letenje, vazdušni saobraćaj, zračni promet"
black gang,"leteća brigada, osoblje strojarnice"
gossamer,"leteća paučina, tanka tkanina"
flying bedding,leteća platforma
flying saucer,leteći tanjur
aviate,letjeti
to fly,letjeti
lettish,letonski jezik
letterbox,letter-box ; poštanski sandučić
letterhead,letter-head ; memorandum ; zaglavlje pisma
letterspaced,letter-spaced ; razmaknuto tiskan
lath,"letva, motka"
slat,"letva, namjestit gredu, poprečna greda"
purlin,"letva, rožnjača"
bar printer,letvični štampač
leukapheresis,leukafereza
leukemia,leukemije
leucocytes,leukociti
leukocytes,leukociti
levis,levisice
lentil,leća
lenses,leće
lie down,leći
clearance angle,leđni ugao noža
back off,leđno rezati
corpse,"leš, lešina"
vulture,"lešinar, ptica grabljivica, sup"
bert,ležaj
pallet,"ležaj, slamarica, slamnjača"
bearings,ležajevi
deck chair,ležaljka
deck chairs,ležaljke
demurrage fee,ležarina
storage charge,ležarina
keel over,"ležati kobilicom prema gore, prebaciti, prevaliti"
underlie,"ležati pod nečim, činiti podlogu"
be in labour,ležati u porođajnim mukama
repose,"ležati, mir, odmarati se, odmor, počivati, san, spavati, temeljiti se, zasnivati se"
sit,"ležati, pozirati, pristajati, sjediti, sjesti, zasjedati, zauzimati"
amble,"ležerno hodati, ležerno ići, ćopati"
being relaxed,ležernost
recumbent,"ležeći, naslonjen"
lies,"leži, smještena"
bearing brass,ležišna posteljica
clay deposits,ležišta
magazine,"ležište, magazin, skladište, časopis"
liberalisation,liberalizacija
liberalization of trade,liberalizacija trgovine
liberalization of the market,liberalizacija tržišta
liberalised,"liberalizacije, liberaliziran"
liberalism,liberalizam
liberalised environment,liberalizirano okruženje
libido,"libido, spolni nagon"
libretto,libreto
faces,lica
visage,lice
faceplate,"lice zaslona, prednja ploča"
person,"lice, netko, osoba, osobe, osobi, osobom, čovjek"
forefront,"lice, prednji dio"
personage,"lice, ugledna osoba, čovjek"
confront,"licem u lice, sukobiti, sukobiti se, suočiti, suprotstaviti"
hypocrite,licemjer
babbitt,"licemjer, malograđanin"
pretender,"licemjer, onaj, pretendent"
meali mouthed,licemjeran
oily,"licemjeran, mastan, sladunjav, uljani, uljevit"
sanctimonious,"licemjeran, pobožan"
hypocrisy,licemjerstvo
puppetry,"licemjerstvo, lutkarska umjetnost, lutkarstvo"
licence rights,licencna prava
license program,"licenčni program, program za čiju se uporabu placa nadoknada autoru"
bidding proceeding,licitacija
cheeks,licu
lieutenantcolonel,lieutenant-colonel ; potporučnik
lieutenantgeneral,lieutenant-general ; general-pukovnik
lifebelt,"life-belt ; pojas za spasavanje, pojas za spašavanje"
lifeboat,life-boat ; čamac za spašavanje
lifecycle analysis,life-cycle analysis ; strategija ekodizajna
lifelong,"life-long ; dugogodišnji ; cijelog života, doživotni"
lifesaving,life-saving ; koji spašava život
lifesaving appliances,life-saving appliances ; oprema za spašavanje života
lifespan developmental theories,life-span developmental theories ; razvojne teorije životnog vijeka
amalgamationama,liga
league,"liga, ligi, morska milja, savez, zajednica, združiti se"
ligament,ligament
league table,ligaška tablica
lightinduced transformation,"light-induced transformation ; svjetlošću inducirane pretvorbe, svjetlošću inducirane pretvorbe"
lignite,lignit
brown coal,"lignit, mrki ugljen"
calamary,lignja
squid,"lignja, mrkač, muzgavac"
roasted squids,lignje na žaru
squids,"lignje, lignji"
lichen planus,lihen planus
loan shark,lihvar
money lender,lihvar
usurer,"lihvar, zelenaš"
usury,"lihvarenje, zelenaš kamate, zelenaštvo"
combination therapy,lije enje sa dvije ili više razli itih vrsta lijek
medicament,lijek
remedy,"lijek, liječiti, otkloniti, pomoć, pomoćno sredstvo, popraviti, pravna sredstva, pravni lijek"
nostrum,"lijek, medicine, omiljena metoda"
preparation,"lijek, preparat, pripravak, priprema, spremnost"
antidot,"lijek, protuotrov"
medicaments,lijekove
medicines,lijekove
drugs,"lijekove, lijekovi"
slothful,lijen
lazy,"lijen, lijeni, nemaran"
sluggard,"lijen, ljenjivac, ljenčina, trom"
supine,"lijen, trom"
laziness,lijenost
sloth,"lijenost, ljenjivac, nerad, tromost"
indolence,"lijenost, nehat"
good looking,lijep
pretty,"lijep, ljepušan, melodičan, prijatan, priličan, prilično, pristao, privlačan, zgodan, znatan"
goodly,"lijep, ljubak"
pleasant,"lijep, ljubak, ljubazan, mio, prijatan, ugodan, ugodne, ugodni, ugodnijim, ugodnim, ugodnom, veseo, šaljiv, živahan"
comely,"lijep, ljubak, mio, prijatan"
personable,"lijep, naočit"
bonny,"lijep, prijatan, veseo, živ"
handsome,"lijep, ukusan"
esthetic,"lijep, ukusan, umjetnički"
snappy,"lijep, zgodan, živahan"
beautiful action,lijepa akcija
nymph,"lijepa djevojka, nimfa"
fine arts,lijepe umjetnosti
fine day,lijepi dan
gluing,lijepljenje
well made,lijepo građen
shapely,"lijepo građen, pravilan, simetričan, vitak"
specious,"lijepog izgleda, nalik na istinu, prividan, varljiv, vjerojatan, zgodan"
coffin,"lijes, mrtvački sanduk"
hazel,"lijeska, ljeska, lješnjak"
left leg,lijeva noga
left banana,lijeva okrugla zagrada
left hand,lijeva ruka
port side,lijeva strana broda
left bracket,lijeva uglata zagrada
left brace,lijeva vitičasta zagrada
hopper,lijevak za punjenje
cast iron,lijevano željezo
left delimiter,lijevi razdjeljnik
left,"lijevi, lijevo, lijevom, napustila, ostavili, ostavio, preostati"
casting defects,lijevni defekti
outside left,lijevo krilo
left subtree,lijevo podstablo
sinistral,"lijevostrani, zavrnut u lije"
hydropathic,liječenje vodom
dentistry,"liječenje zuba, zubarstvo"
treatment,"liječenje, liječenje., obrada, obrade, postupak, postupanje, postupku, pročišćavanja, pročišćavanje, terapija, tretiranju, tretman"
therapy,"liječenje, terapija, terapija bolesti jetre"
physicians,liječnici
medicines sans frontiers,liječnici bez granica
physicians as illustrators,liječnici ilustratori
physician,"liječnik, ljekar"
medical evacuation,liječnička evakuacija
medical committee,"liječnička komisija, medicinska komisija"
medical assistance,liječnička pomoć
medical,"liječnička, liječnički, ljekarski, medicinska, medicinske, medicinski, zdravstvena"
practitioners,liječničke ordinacije
medical examination,"liječnički pregled, medicinski pregled, zdravstveni pregled"
medical underwriting,liječničko preuzimanje rizika
effigy,"lik, obličje, portret, slika"
similitude,"lik, prilika, sličnost, uspoređenje"
like what is he,"like what is he ~ ; kakav je, kako izgleda"
likeminded,like-minded ; istomišljenika
liquer,liker
liqueur,liker
lycopene,likopen
exult,"likovati, trijumfirati"
art criticism,likovna kritika
visual arts,"likovna umjetnost, vizualna umjetnost"
art,"likovni odgoj, lukavstvo, način, okretnost, podmuklost, umijeće, umjetničke, umjetnički, umjetničkih, umjetničkim, umjetnost, vičnost, vješt, vještina, vrsta, zanat, znanje"
space design,likovno oblikovanje prostora
liquidation,likvidacija
winding up,likvidacija
validation of expenditure,likvidacija izdataka
receivership,"likvidacijska prisilna uprava, stečaj"
estate administrator,likvidator
liquidator,likvidator
liquidate,"likvidirati, obračunati, srediti"
solvency,"likvidnost, solventnost, sposobnost"
sheet metal,lim
lemon sole,limanda
tinsmith,limar
whitesmith,limar
limetree,lime-tree ; lipa
brass band,"limena glazba, limenu glazbu"
bread bin,limena kutija za spremanje kruha
inverse limit,limes sustava
lymph node,limfni čvor
lymphocyte,limfociti
lymphocytes,limfociti
peripheral blood lymphocytes,limfociti periferne krvi
lymphocyte subpopulations,limfocitne subpopulacije
lymphoma,"limfom, limfomi"
lymphomas,limfomi
lymphoproliferative diseases,limfoproliferativne bolesti
liminal,liminalno
ltd,"limited, ograničiti ; Ltd. ; d.o.o."
lemon,limun
lemonade,limunada
citric acid,limunska kiselina
line of sight path loss,line of -sight path loss ; gušenje na trasi u dometu vidljivosti
line side lineside,line side (lineside) ; pretplatnički stupanj telefonske centrale
linebalance converter,"line-balance converter ; linijsko-ravnotežni pretvornik, sklop za uravnoteživanje koaksijalne linije"
lineonly activation,line-only activation ; uključivanje jedino linije (digitalnog linijskog t
linestate symbol,line-state symbol ; znak stanja linije
lineterminating unit,line-terminating unit ; jedinica zaključenja linije
lineup,"line-up ; postava, sastav momčadi"
lineup sheet,line-up sheet ; lista sa sastavom momčadi
linear timeinvariant system,linear time-invariant system ; linearni vremenski nepromjenljivi sustav
linear timevariant channel,linear time-variant channel ; linearni vremenski promjenljivi kanal
linearfeedback shift register,linear-feedback shift register ; pomačni spremnik s linearnim povratnim vezama
lineartruncated congruential generator,linear-truncated congruential generator ; linearno ograničeni sukladni generator
linear,"linearan, linearna, linearni, linearnih"
linear algebra,linearna algebra
linear amplitude difference,linearna amplitudna razlika
linear polarization,"linearna polarizacija, pravocrtna polarizacija"
linear transform,"linearna transformacija, rezultat linearne transformacije"
linear forms,linearne forme
linear address space,linearni adresni prostor
linear block code,linearni blok-kod
linear congruential generator,"linearni kongruentni generator, linearni sukladni generator"
linear displacement,linearni pomak
residual excited linear predictive coder,linearni prediktivni koder pobuđivan rezidualima
linear space,linearni prostor
linear instruction sequence,linearni slijed naredaba
linear system,linearni sustav
linear distortion,linearno izobličenje
linear constraint,linearno ograničenje
linear notation,linearno označavanje
linear predictive coding,linearno predvidljivo kodiranje
vector sum excited linear prediction,linearno predviđanje pobuđeno vektorskim zbrojem
linear scanning,"linearno pretraživanje, linearno skeniranje"
linearity,"linearnost, ravnomjernost, razmjernost"
linguistic distances,lingvističke udaljenosti
phase alternating line,"linija izmjenične faze, postupak modulacije TV u boji"
attack line,linija napada
collout line,linija opisa objekata
deck line,linija palube
parallel index,linija plovidbe paralelnom distancom od kopna
extended digital subscriber line,"linija primarne brzine prijenosa od 2.048 Mb/s, proširena digitalna pretplatnička linija"
branch line,linija s ograncima (mikrotrakaste linije)
slot line,linija s prorezom
service line,linija serviranja
three meters line,linija tri metra
digital line,linija za digitalni prijenos
stripping line,linija za iskrcaj ostataka tekućih tereta iz tanko
delay line,"linija za kašnjenje, linija zadrške"
handshaking line,"linija za usklađivanje, vod za usklađivanje"
head line,linija zaglavlja
overline,linija zaglavlja
lines of cover,linije pokrića
resonant absorption lines,linije prigušenja zbog rezonantne apsorpcije (npr.
lines,"linije, redaka"
liner conference,linijska konferencija
line station,linijska postaja
line signaling,"linijska signalizacija, signaliziranje na liniji"
line hit,linijska smetnja
liner shipping company,linijski brodar
line code,linijski kod
line callout,linijski oblačić
line switch,linijski prekidač
airliner,linijski putnički avion
line judge,linijski sudac
linesman,linijski sudac
line termination,"linijsko opterećenje, zaključenje linije"
tench,linjak
link access procedure d,link access procedure D ; postupak D pristupa vezi
link access procedurebalanced,link access procedure-balanced ; postupak s uravnoteženim pristupom vezi
link access protocol dchannel,link access protocol D-channel ; protokol kanala D pristupa vezi (ISDN)
linkstatus signal unit,link-status signal unit ; signalna jedinica stanja veze
linoleum,linoleum
lynch,linčovati
lyotropic liquid crystals,liotropni tekući kristali
linden,lipa
lipases,lipaze
lipids,lipidi
skin surface lipids,lipidi površine kože
lipid peroxidation,"lipidna peroksidacija, lipidska peroksidacija, peroksidacija lipida"
lipolysis,lipoliza
lipopolysaccharide,lipopolisaharid
lipopolysaharid,lipopolisaharid
lipoprotein,lipoprotein
liposomes,liposomi
liquidliquid equilibria,liquid-liquid equilibria ; ravnoteža kapljevina-kapljevina
lyrics,lirika
lyric,"lirska pjesma, lirski"
lyrical oral poems,lirske usmene pjesme
fox,lisica
handcuffs,lisice
bracelet,"lisice, narukvica"
manacle,"lisice, nataći lisice, ometati, praviti smetnje, prepreke, ručni okovi, smetnje"
chantarelle,lisičica
foxhole,lisičja jazbina
mica,liskun
daze,"liskun, sjajan kamen, zablještati, zaprepaštenje, zbuniti"
aphid,lisna uš
laminated,"lisnat, pločast"
kail,lisnati kelj
collards,"lisnati kelj, raątika"
leaf vegetable,lisnato povrće
crumpet,lisnato tijesto
puffed pastry,lisnato tijesto
aphides,"lisne uši, uši"
microfiche,"list filma za pohranu podataka (najčešće 105x148mm, mikrofiš"
chart sheet,list grafikona
sheet of paper,list papira
property sheet,list svojstava
mailing list,"lista adresa (elektroničke pošte), popis korisnika elektroničke pošte, popis korisničkih adresa"
edit decision list,"lista editorskih naredbi, lista zadataka za uređenje zapisa (audio, video)"
picking list,lista izbora
default router list,lista predodređenih usmjerivača
distribution list,"lista raspodjele (poruka primateljima), popis raspodjele"
score sheet,"lista rezultata, zapisnik"
scorer list,lista strijelaca
wait list,lista čekanja
lists,"lista, listama, liste"
list,"lista, listati, liste, listi, listu, nabrajati, nabrojiti, nagnuti se, nagnuće broda, navesti, popis, popisa, popisu, pregled, spisak, tablica"
table,"lista, pult, ravna površina, spisak, sto, stol, stola, stolni, stolu, tabela, tablica, tablice"
scrolling,"listanje, pomicanje, sklizanje"
playlists,liste izvođenja
foliage,"listoliki ukras, lišće"
folios,listova
leaves,"listovi, lišće"
pillar box,"listovna uložnica, listovna uložnica u obliku stupa, poštanski sandučić"
playlist,listu izvođenja
literary sources,"literarni izvor, literarni izvori"
precipice,"litica, ponor, provalija, strmina"
crags,litice
lithium,litij
lithic,litika
lithofacies,litofacijesi
lithography,litografija
