,Korean,ENGLISH,POLISH,Chinese,SPANISH,SWEDISH,INDONESIAN,Japanese,ChineseT,ARABIC,MALAGASY,FRENCH,RUSSIAN,BELARUSIAN,TAMIL,TURKISH,DANISH,CROATIAN,ITALIAN,MACEDONIAN,DUTCH,CZECH,GREEK,GERMAN,TELUGU,SLOVENIAN,FINNISH,HUNGARIAN,BIHARI,PORTUGUESE,VIETNAMESE,MALAYALAM,ALBANIAN,MALTESE,Unknown,GALICIAN,ESTONIAN,ARMENIAN,NORWEGIAN,SERBIAN,HEBREW,SLOVAK,THAI,UKRAINIAN,ROMANIAN,GEORGIAN,LITHUANIAN,HINDI,BENGALI,ICELANDIC,LATVIAN,PERSIAN,SWAHILI,TAGALOG,UZBEK,CATALAN,BOSNIAN,FRISIAN,ORIYA,SINHALESE,MARATHI,TURKMEN,AZERBAIJANI,BASQUE,NORWEGIAN_N,BURMESE,BULGARIAN,TIGRINYA,SOMALI,LUXEMBOURGISH,MALAY,URDU,GUJARATI,KAZAKH,TAJIK,KANNADA,HAUSA,DHIVEHI,PASHTO,MONGOLIAN,KURDISH,PUNJABI,KINYARWANDA,WELSH,RHAETO_ROMANCE,AYMARA,WARAY_PHILIPPINES,OROMO,KYRGYZ,IRISH,SCOTS_GAELIC,GANDA,AFRIKAANS,FAROESE,YORUBA,NYANJA,AMHARIC,LATIN,CORSICAN,IGBO,SESELWA,SAMOAN,LINGALA,XHOSA,TIBETAN,OCCITAN,NEPALI,GUARANI,HMONG,TATAR
开,1069.0,805.0,8.0,1287971.0,73.0,,,97.0,449.0,3.0,,96.0,68.0,,,2.0,3.0,,1.0,,,6.0,,13.0,,,,,,1.0,4.0,,,,,,,,,,,,,14.0,3.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
준,26033.0,223.0,6.0,43.0,1.0,1.0,,,5.0,5.0,,,1.0,,,,,,,,,2.0,,,,,,2.0,,1.0,2.0,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
저,29109.0,60.0,28.0,42.0,4.0,5.0,,3.0,5.0,9.0,,10.0,,,,,,,1.0,,2.0,31.0,,4.0,,,,24.0,,3.0,,,,,,,,,17.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
평,39539.0,167.0,185.0,154.0,2.0,14.0,,2.0,3.0,8.0,,41.0,2.0,,,,,4.0,19.0,,10.0,60.0,,43.0,,,,19.0,,33.0,,,,,,,,,34.0,,,,,,1.0,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원,265806.0,622.0,400.0,392.0,11.0,63.0,,9.0,15.0,11.0,,133.0,2.0,,,1.0,2.0,6.0,33.0,,34.0,120.0,,35.0,,8.0,,62.0,,47.0,2.0,,,,,,,,87.0,,,,7.0,,1.0,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자,221582.0,312.0,71.0,223.0,21.0,3.0,,11.0,17.0,52.0,,25.0,2.0,,,,,,7.0,,6.0,55.0,,8.0,,,2.0,6.0,,16.0,2.0,,,,,,,,27.0,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
위,91768.0,210.0,165.0,177.0,11.0,17.0,,5.0,7.0,24.0,,78.0,2.0,,,,,,20.0,,3.0,16.0,,21.0,,,,18.0,,12.0,,,,,,,,,20.0,,,,4.0,,4.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주,182063.0,1052.0,1005.0,754.0,14.0,109.0,,4.0,8.0,21.0,,354.0,5.0,,,,7.0,31.0,131.0,,14.0,126.0,,148.0,,6.0,,161.0,,120.0,2.0,,,,,,,,191.0,,,,4.0,,2.0,,,,,,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
택,20458.0,71.0,42.0,52.0,2.0,2.0,,2.0,,6.0,,10.0,,,,,,,7.0,,8.0,21.0,,4.0,,,,,,5.0,,,,,,,,,5.0,,,,,,1.0,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
치,79839.0,199.0,24.0,77.0,7.0,4.0,,4.0,8.0,14.0,,20.0,1.0,,,,,,3.0,,2.0,5.0,,6.0,,,,19.0,,5.0,1.0,,,,,,,,10.0,,,,4.0,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
민,80428.0,376.0,15.0,84.0,3.0,,,4.0,8.0,6.0,,9.0,2.0,,,,,,,,3.0,10.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,3.0,,,,6.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시,261135.0,553.0,462.0,415.0,19.0,46.0,,23.0,22.0,63.0,,125.0,2.0,,,,2.0,10.0,47.0,,11.0,193.0,,56.0,,,3.0,87.0,,43.0,4.0,,,,,,,,91.0,,,,5.0,,5.0,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부,176858.0,358.0,305.0,290.0,7.0,15.0,,6.0,8.0,26.0,,76.0,4.0,,,,1.0,6.0,58.0,,8.0,73.0,,60.0,,,1.0,34.0,,29.0,1.0,,,,,,,,46.0,,,,2.0,,6.0,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장,220921.0,3071.0,3331.0,2560.0,10.0,546.0,,8.0,20.0,27.0,,1074.0,7.0,,,,89.0,83.0,534.0,,122.0,1790.0,8.0,539.0,,19.0,1.0,491.0,,495.0,1.0,,,,,,,,658.0,,,,2.0,,1.0,,,,,,885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서,301431.0,664.0,441.0,459.0,24.0,47.0,,20.0,16.0,81.0,,147.0,6.0,,,,7.0,3.0,43.0,1.0,9.0,53.0,,34.0,,,,54.0,,48.0,2.0,,,,,,,,88.0,,,,1.0,,8.0,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행,73049.0,244.0,91.0,174.0,6.0,11.0,,5.0,6.0,14.0,,127.0,,,,,3.0,7.0,15.0,,1.0,22.0,,7.0,,,,28.0,,9.0,,,,,,,,,9.0,,,,2.0,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
싶,2546.0,15.0,,2.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고,186762.0,496.0,240.0,234.0,27.0,26.0,,14.0,11.0,72.0,,55.0,3.0,,,,5.0,3.0,28.0,,11.0,110.0,,45.0,,,1.0,30.0,,60.0,3.0,,,,,,,,54.0,,,,5.0,,11.0,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다,223599.0,555.0,257.0,266.0,21.0,19.0,,16.0,32.0,63.0,,34.0,4.0,,,2.0,,,19.0,,6.0,162.0,,12.0,,,,37.0,,18.0,5.0,,,,,,,,52.0,,,,17.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
습,20922.0,22.0,1.0,16.0,5.0,,,5.0,2.0,16.0,,3.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
니,85359.0,256.0,172.0,233.0,14.0,6.0,,13.0,11.0,46.0,,30.0,4.0,,,,,,4.0,,5.0,119.0,,8.0,,,,28.0,,8.0,1.0,,,,,,,,18.0,,,,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
바,44556.0,460.0,1307.0,293.0,14.0,88.0,,1.0,11.0,9.0,,164.0,7.0,,,,,,90.0,,18.0,139.0,,89.0,,,,62.0,,81.0,2.0,,,,,,,,206.0,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
꾸,3111.0,22.0,9.0,1.0,,4.0,,,,2.0,,2.0,,,,,,,4.0,,,1.0,,6.0,,,,,,2.0,,,,,,,,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
요,82744.0,318.0,13.0,62.0,5.0,3.0,,7.0,9.0,22.0,,6.0,1.0,,,,,,,,5.0,8.0,,5.0,,,,4.0,,5.0,2.0,,,,,,,,1.0,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
데,52045.0,81.0,26.0,44.0,4.0,2.0,,3.0,7.0,10.0,,15.0,,,,,,,2.0,1.0,,2.0,,1.0,,,,17.0,,2.0,1.0,,,,,,,,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남,66377.0,1107.0,779.0,559.0,3.0,237.0,,4.0,9.0,6.0,,451.0,4.0,,,,,21.0,262.0,,25.0,182.0,1.0,259.0,,5.0,,166.0,,266.0,,,,,,,,,354.0,,,,3.0,,,,,,,,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성,131748.0,655.0,394.0,391.0,5.0,33.0,,10.0,12.0,23.0,,149.0,2.0,,,,6.0,7.0,38.0,,31.0,100.0,2.0,34.0,,,,66.0,,50.0,1.0,,,,,,,,97.0,,,,2.0,,6.0,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,60985.0,2797068.0,445629.0,388497.0,724277.0,431441.0,83721.0,109332.0,149692.0,72147.0,11263.0,700740.0,156169.0,1122.0,3675.0,801386.0,317046.0,167508.0,598384.0,13290.0,297629.0,302347.0,59639.0,1185545.0,8389.0,114332.0,343569.0,272472.0,702.0,500648.0,38840.0,6962.0,75740.0,7490.0,94752.0,10535.0,121087.0,3706.0,216666.0,123109.0,10563.0,159349.0,13060.0,9251.0,126634.0,573.0,82893.0,42145.0,3767.0,54958.0,58984.0,4468.0,42262.0,10284.0,1451.0,31684.0,313400.0,4809.0,1294.0,3003.0,50.0,4007.0,67230.0,5538.0,22496.0,287.0,3916.0,645.0,8793.0,12804.0,22790.0,6205.0,3300.0,185.0,638.0,3125.0,10126.0,394.0,28.0,294.0,47.0,17.0,7196.0,1351.0,399.0,106.0,1475.0,1984.0,56.0,789.0,433.0,5963.0,2644.0,3620.0,709.0,1335.0,76.0,132.0,861.0,780.0,157.0,210.0,1453.0,512.0,41.0,,34.0,199.0,55.0,
4,120499.0,1597085.0,134514.0,1260026.0,330831.0,84637.0,18583.0,153969.0,483711.0,148277.0,280.0,355955.0,1514779.0,962.0,5817.0,206721.0,98457.0,40550.0,377468.0,7919.0,84364.0,240228.0,106297.0,322113.0,742.0,63492.0,42793.0,80891.0,636.0,236460.0,42365.0,16165.0,26784.0,214.0,59915.0,209.0,17307.0,25030.0,48360.0,38138.0,25678.0,110242.0,23216.0,106956.0,150086.0,1015.0,22658.0,30709.0,5536.0,4657.0,1623.0,1940.0,1616.0,200.0,3485.0,1347.0,125035.0,87.0,2644.0,4106.0,98.0,593.0,43891.0,161.0,8112.0,34.0,66383.0,64.0,1211.0,444.0,4584.0,8148.0,1075.0,2512.0,7082.0,285.0,531.0,159.0,17.0,323.0,181.0,131.0,118.0,59.0,6.0,6.0,1064.0,21.0,121.0,46.0,20.0,200.0,70.0,36.0,34.0,13.0,36.0,6.0,17.0,23.0,48.0,480.0,33.0,295.0,9.0,2.0,2.0,18.0,159.0,7.0
의,334490.0,538.0,202.0,474.0,46.0,14.0,,31.0,60.0,148.0,,43.0,6.0,,,,,,11.0,,8.0,29.0,,41.0,,,2.0,8.0,,6.0,2.0,,,,,,,,35.0,,,,5.0,,20.0,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정,195298.0,892.0,324.0,337.0,8.0,10.0,,4.0,12.0,33.0,,73.0,4.0,,,,,2.0,32.0,,8.0,127.0,,30.0,,,,22.0,,10.0,1.0,,,,,,,,66.0,,,,4.0,,5.0,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,198808.0,1779524.0,165443.0,3040792.0,396373.0,105144.0,24699.0,361229.0,903750.0,175788.0,518.0,448839.0,1824829.0,1319.0,4896.0,255165.0,109625.0,42745.0,398237.0,8217.0,105542.0,227406.0,129520.0,394808.0,1323.0,60703.0,68271.0,87346.0,783.0,306153.0,63430.0,11106.0,24012.0,377.0,72645.0,350.0,23680.0,23824.0,51772.0,44390.0,34284.0,98918.0,29209.0,123095.0,143795.0,1155.0,19553.0,31399.0,5223.0,2072.0,2407.0,3501.0,2302.0,330.0,2987.0,1848.0,73211.0,167.0,2638.0,4205.0,153.0,1027.0,53946.0,307.0,7882.0,80.0,73737.0,142.0,2918.0,686.0,5871.0,10090.0,1649.0,2131.0,7051.0,491.0,852.0,332.0,18.0,460.0,301.0,190.0,270.0,126.0,28.0,13.0,607.0,75.0,243.0,65.0,41.0,864.0,145.0,83.0,78.0,28.0,80.0,18.0,60.0,54.0,39.0,408.0,73.0,197.0,17.0,3.0,1.0,20.0,90.0,7.0
도,257951.0,384.0,210.0,277.0,6.0,27.0,,6.0,20.0,36.0,,56.0,2.0,,,,2.0,,9.0,,21.0,93.0,,12.0,,,1.0,30.0,,31.0,1.0,,,,,,,,32.0,,,,3.0,,6.0,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
케,17663.0,48.0,25.0,21.0,1.0,,,2.0,2.0,6.0,,2.0,,,,,,,,,1.0,2.0,,,,,,4.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
돈,5860.0,18.0,8.0,7.0,,,,,2.0,2.0,,4.0,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이,520898.0,2544.0,1324.0,855.0,71.0,147.0,,29.0,87.0,209.0,,404.0,24.0,,,2.0,,5.0,147.0,,36.0,345.0,,160.0,,1.0,1.0,158.0,,144.0,9.0,,,,,,,,410.0,,,,42.0,,21.0,,,,,,72.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
크,46496.0,162.0,88.0,65.0,5.0,4.0,,6.0,11.0,13.0,,19.0,3.0,,,1.0,,1.0,2.0,,,10.0,,6.0,,,,7.0,,4.0,1.0,,,,,,,,19.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국,154477.0,304.0,197.0,427.0,9.0,16.0,,16.0,8.0,20.0,,41.0,3.0,,,1.0,1.0,,18.0,,11.0,72.0,2.0,21.0,,,1.0,33.0,1.0,24.0,2.0,,,,,,,,32.0,,,1.0,4.0,1.0,1.0,,,1.0,,,60.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
애,27791.0,154.0,42.0,111.0,5.0,5.0,,1.0,6.0,10.0,,100.0,,,,,3.0,7.0,3.0,,,8.0,,6.0,,,,9.0,,5.0,,,,,,,,,6.0,,,,,,1.0,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가,290751.0,733.0,452.0,480.0,35.0,52.0,,13.0,27.0,112.0,,111.0,4.0,,,,8.0,16.0,35.0,,14.0,204.0,,53.0,,,2.0,70.0,,39.0,2.0,,,,,,,,106.0,,,,6.0,,16.0,,,,,,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
회,198157.0,96.0,36.0,177.0,5.0,1.0,,5.0,5.0,17.0,,29.0,1.0,,,,3.0,,,,1.0,24.0,,1.0,,,,8.0,,3.0,1.0,,,,,,,,14.0,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
권,44088.0,191.0,32.0,93.0,1.0,,,,,4.0,,29.0,1.0,,,,2.0,,,,1.0,22.0,,,,,,4.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상,145165.0,323.0,138.0,364.0,11.0,22.0,,15.0,7.0,32.0,,55.0,4.0,,,,1.0,6.0,20.0,,14.0,53.0,,12.0,,,,17.0,,6.0,2.0,,,,,,,,39.0,,,,6.0,,3.0,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한,159642.0,531.0,92.0,198.0,20.0,8.0,,22.0,26.0,52.0,,23.0,6.0,,,1.0,,,8.0,,12.0,36.0,2.0,11.0,,,1.0,32.0,1.0,7.0,2.0,,,,,,,,26.0,,,1.0,6.0,1.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
졸,2696.0,7.0,14.0,7.0,,2.0,,,,2.0,,6.0,,,,,,,2.0,,,1.0,,2.0,,,,,,2.0,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
릴,4512.0,146.0,7.0,6.0,1.0,,,,1.0,,,4.0,,,,,,,,,2.0,4.0,,1.0,,1.0,,1.0,,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
와,94067.0,121.0,64.0,81.0,8.0,6.0,,5.0,17.0,40.0,,16.0,2.0,,,,,,8.0,,2.0,9.0,,6.0,,,,8.0,,2.0,,,,,,,,,11.0,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
